Assembly Accession	Assembly Name	Organism Name	Annotation Name	Assembly Level	Assembly Release Date	Assembly Stats Number of Scaffolds	Assembly BioProject Accession	Assembly BioSample Accession
GCF_964047955.1	30224_1#291	Escherichia coli	GCF_964047955.1-RS_2024_05_20	Complete Genome	2024-05-20	2	PRJEB45354	SAMEA9068026
GCF_001900555.1	ASM190055v1	Escherichia coli	GCF_001900555.1-RS_2024_06_13	Complete Genome	2016-12-12	4	PRJNA269191	SAMN03252415
GCF_003018215.1	ASM301821v1	Escherichia coli	GCF_003018215.1-RS_2024_06_16	Complete Genome	2018-03-26	2	PRJNA218110	SAMN08579573
GCF_014656605.1	ASM1465660v1	Escherichia coli	GCF_014656605.1-RS_2024_06_27	Complete Genome	2020-09-19	2	PRJNA662169	SAMN16077359
GCF_030169335.1	ASM3016933v1	Escherichia coli	GCF_030169335.1-RS_2024_06_20	Complete Genome	2023-06-05	5	PRJNA876631	SAMN30667242
GCF_030169195.1	ASM3016919v1	Escherichia coli	GCF_030169195.1-RS_2024_06_20	Complete Genome	2023-06-05	5	PRJNA876631	SAMN30667240
GCF_002310615.1	ASM231061v1	Escherichia coli	GCF_002310615.1-RS_2024_06_14	Complete Genome	2017-09-18	2	PRJNA402083	SAMN07618121
GCF_045037505.1	ASM4503750v1	Escherichia coli	GCF_045037505.1-RS_2024_11_20	Complete Genome	2024-11-23	4	PRJNA1180919	SAMN44530426
GCF_963575505.1	F200	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-28	7	PRJEB62104	SAMEA113542875
GCF_028201635.1	ASM2820163v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-01-29	2	PRJNA924282	SAMN32755850
GCF_028898885.1	ASM2889888v1	Escherichia coli	GCF_028898885.1-RS_2024_04_29	Complete Genome	2023-03-02	4	PRJNA905685	SAMN31881052
GCF_002011965.1	ASM201196v1	Escherichia coli	GCF_002011965.1-RS_2024_06_13	Complete Genome	2017-03-03	5	PRJNA316786	SAMN05511184
GCF_001566635.1	ASM156663v1	Escherichia coli	GCF_001566635.1-RS_2024_06_11	Complete Genome	2016-02-23	4	PRJNA307507	SAMN04381851
GCF_027945055.1	ASM2794505v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-01-24	5	PRJNA907549	SAMN31988385
GCF_027944935.1	ASM2794493v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-01-24	5	PRJNA907549	SAMN31988420
GCF_039912475.1	ASM3991247v1	Escherichia coli	GCF_039912475.1-RS_2024_05_30	Complete Genome	2024-05-31	4	PRJNA935790	SAMN41050885
GCF_032375225.1	ASM3237522v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-05	6	PRJNA1019817	SAMN35769064
GCF_032379415.1	ASM3237941v1	Escherichia coli	GCF_032379415.1-RS_2024_08_04	Complete Genome	2023-10-05	5	PRJNA1019817	SAMN35768994
GCF_964049315.1	30224_1#333	Escherichia coli	GCF_964049315.1-RS_2024_05_20	Complete Genome	2024-05-20	3	PRJEB45354	SAMEA9068084
GCF_024917995.1	ASM2491799v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-04	6	PRJNA836696	SAMN28174017
GCF_030036855.1	ASM3003685v1	Escherichia coli	GCF_030036855.1-RS_2024_06_10	Complete Genome	2023-05-12	3	PRJNA961666	SAMN34360958
GCF_036287725.1	ASM3628772v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-01-29	3	PRJNA1064408	SAMN39501362
GCF_041228375.1	ASM4122837v1	Escherichia coli	GCF_041228375.1-RS_2024_08_14	Complete Genome	2024-08-14	8	PRJNA1143707	SAMN43017306
GCF_900088105.1	ASM90008810v2	Escherichia coli	GCF_900088105.1-RS_2024_06_15	Complete Genome	2017-08-22	4	PRJEB14095	SAMEA3996552
GCF_013340805.1	ASM1334080v1	Escherichia coli	GCF_013340805.1-RS_2024_06_26	Complete Genome	2020-06-05	8	PRJDB8376	SAMD00172787
GCF_013340785.1	ASM1334078v1	Escherichia coli	GCF_013340785.1-RS_2024_06_26	Complete Genome	2020-06-05	7	PRJDB8376	SAMD00172786
GCF_002165095.2	ASM216509v2	Escherichia coli	GCF_002165095.2-RS_2024_06_17	Complete Genome	2018-10-17	13	PRJNA418674	SAMN06909177
GCF_024331535.2	ASM2433153v2	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-08	5	PRJNA856486	SAMN29553893
GCF_963575325.1	F163	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-28	4	PRJEB62104	SAMEA113542866
GCF_030863965.1	ASM3086396v1	Escherichia coli	GCF_030863965.1-RS_2024_09_07	Complete Genome	2023-08-23	4	PRJNA1003888	SAMN36910816
GCF_022493895.1	ASM2249389v1	Escherichia coli	GCF_022493895.1-RS_2024_04_25	Complete Genome	2022-03-07	1	PRJNA293615	SAMN04100060
GCF_964200035.1	368_BP0078U_scaffolds	Escherichia coli	GCF_964200035.1-RS_2024_11_08	Complete Genome	2024-11-09	7	PRJEB77560	SAMEA115834835
GCF_964045445.1	30224_1#355	Escherichia coli	GCF_964045445.1-RS_2024_05_20	Complete Genome	2024-05-20	2	PRJEB45354	SAMEA9068038
GCF_030037615.1	ASM3003761v1	Escherichia coli	GCF_030037615.1-RS_2024_06_10	Complete Genome	2023-05-12	4	PRJNA961666	SAMN34360965
GCF_031664795.1	ASM3166479v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-09-19	5	PRJNA953191	SAMN37323656
GCF_003122105.1	ASM312210v1	Escherichia coli	GCF_003122105.1-RS_2024_06_15	Complete Genome	2018-05-13	4	PRJNA439379	SAMN08765149
GCF_017088425.1	ASM1708842v1	Escherichia coli	GCF_017088425.1-RS_2024_06_27	Complete Genome	2021-03-01	8	PRJNA599529	SAMN17807536
GCF_003018255.1	ASM301825v1	Escherichia coli	GCF_003018255.1-RS_2024_06_16	Complete Genome	2018-03-26	2	PRJNA218110	SAMN08579579
GCF_024298565.1	ASM2429856v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-07-18	5	PRJNA856840	SAMN29593405
GCF_025369735.1	ASM2536973v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-22	2	PRJNA876788	SAMN30672552
GCF_044161675.1	ASM4416167v1	Escherichia coli	GCF_044161675.1-RS_2024_11_01	Complete Genome	2024-11-02	3	PRJNA1176045	SAMN44379769
GCF_041344915.1	ASM4134491v1	Escherichia coli	GCF_041344915.1-RS_2024_08_20	Complete Genome	2024-08-21	5	PRJNA1145357	SAMN43063587
GCF_010365525.1	ASM1036552v1	Escherichia coli	GCF_010365525.1-RS_2024_06_25	Complete Genome	2020-02-09	4	PRJNA604100	SAMN13951916
GCF_020540945.1	ASM2054094v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-10-21	4	PRJNA770738	SAMN22232796
GCF_002011945.1	ASM201194v1	Escherichia coli	GCF_002011945.1-RS_2024_06_13	Complete Genome	2017-03-03	9	PRJNA316786	SAMN05511177
GCF_024584905.1	ASM2458490v1	Escherichia coli	GCF_024584905.1-RS_2024_09_07	Complete Genome	2022-08-08	4	PRJNA320137	SAMN04917420
GCF_024917275.1	ASM2491727v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-04	2	PRJNA836696	SAMN28174056
GCF_010365425.1	ASM1036542v1	Escherichia coli	GCF_010365425.1-RS_2024_06_25	Complete Genome	2020-02-09	7	PRJNA604100	SAMN13951922
GCF_045037715.1	ASM4503771v1	Escherichia coli	GCF_045037715.1-RS_2024_11_20	Complete Genome	2024-11-23	4	PRJNA1180919	SAMN44530434
GCF_036494765.1	ASM3649476v1	Escherichia coli	GCF_036494765.1-RS_2024_04_04	Complete Genome	2023-11-03	6	PRJDB14867	SAMD00562501
GCF_020683045.1	ASM2068304v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-10-31	3	PRJNA773571	SAMN22488132
GCF_040616285.1	EC554-PBR	Escherichia coli	GCF_040616285.1-RS_2024_07_12	Complete Genome	2024-07-12	5	PRJNA1129355	SAMN42151356
GCF_039912305.1	ASM3991230v1	Escherichia coli	GCF_039912305.1-RS_2024_05_30	Complete Genome	2024-05-31	2	PRJNA935790	SAMN41050886
GCF_045037625.1	ASM4503762v1	Escherichia coli	GCF_045037625.1-RS_2024_11_20	Complete Genome	2024-11-23	3	PRJNA1180919	SAMN44530439
GCF_019844035.1	ASM1984403v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-09-01	4	PRJNA756169	SAMN20857180
GCF_037622475.1	ASM3762247v1	Escherichia coli	GCF_037622475.1-RS_2024_04_05	Complete Genome	2024-04-05	3	PRJNA1087359	SAMN40441552
GCF_019844015.1	ASM1984401v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-09-01	2	PRJNA756168	SAMN20857176
GCF_030162075.2	ASM3016207v2	Escherichia coli	GCF_030162075.2-RS_2024_07_02	Complete Genome	2023-04-14	3	PRJDB10427	SAMD00587235
GCF_018141225.1	ASM1814122v1	Escherichia coli	GCF_018141225.1-RS_2024_06_28	Complete Genome	2021-04-27	7	PRJNA488670	SAMN09939624
GCF_003030365.1	ASM303036v1	Escherichia coli	GCF_003030365.1-RS_2024_06_16	Complete Genome	2018-04-02	2	PRJNA423165	SAMN08212052
GCF_030162175.2	ASM3016217v2	Escherichia coli	GCF_030162175.2-RS_2024_07_02	Complete Genome	2023-04-14	7	PRJDB10427	SAMD00587240
GCF_002105735.1	ASM210573v1	Escherichia coli	GCF_002105735.1-RS_2024_06_13	Complete Genome	2017-04-24	2	PRJNA312475	SAMN05414625
GCF_030162035.2	ASM3016203v2	Escherichia coli	GCF_030162035.2-RS_2024_07_01	Complete Genome	2023-04-14	3	PRJDB10427	SAMD00587233
GCF_041021975.1	ASM4102197v1	Escherichia coli	GCF_041021975.1-RS_2024_08_04	Complete Genome	2024-08-04	4	PRJNA1123745	SAMN41822574
GCF_022558645.1	ASM2255864v1	Escherichia coli	GCF_022558645.1-RS_2024_05_24	Complete Genome	2022-03-14	6	PRJNA608094	SAMN15904668
GCF_020034635.1	ASM2003463v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-09-18	4	PRJNA757278	SAMN20959237
GCF_040834075.1	ASM4083407v1	Escherichia coli	GCF_040834075.1-RS_2024_07_25	Complete Genome	2024-07-25	1	PRJNA1134078	SAMN42392494
GCF_949361525.1	GENOMIC20-004	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-03-16	4	PRJEB58706	SAMEA112702327
GCF_045037405.1	ASM4503740v1	Escherichia coli	GCF_045037405.1-RS_2024_11_20	Complete Genome	2024-11-23	4	PRJNA1180919	SAMN44530454
GCF_019970975.1	ASM1997097v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-09-14	5	PRJNA716667	SAMN18446036
GCF_019969645.1	ASM1996964v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-09-14	5	PRJNA716667	SAMN18446035
GCF_019969605.1	ASM1996960v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-09-14	5	PRJNA716667	SAMN18446033
GCF_029635575.1	ASM2963557v1	Escherichia coli	GCF_029635575.1-RS_2024_05_27	Complete Genome	2023-04-10	4	PRJNA892790	SAMN31396625
GCF_001901465.1	ASM190146v1	Escherichia coli	GCF_001901465.1-RS_2024_06_12	Complete Genome	2016-12-12	1	PRJNA269191	SAMN03252451
GCF_013371685.1	ASM1337168v1	Escherichia coli	GCF_013371685.1-RS_2024_06_26	Complete Genome	2020-06-24	5	PRJNA639230	SAMN15229441
GCF_002951715.1	ASM295171v1	Escherichia coli	GCF_002951715.1-RS_2024_06_15	Complete Genome	2018-02-05	6	PRJNA361032	SAMN06219548
GCF_014169195.1	ASM1416919v1	Escherichia coli	GCF_014169195.1-RS_2024_06_26	Complete Genome	2020-07-21	2	PRJDB6962	SAMD00194506
GCF_030388645.1	ASM3038864v1	Escherichia coli	GCF_030388645.1-RS_2024_07_11	Complete Genome	2023-07-03	4	PRJNA987030	SAMN35883540
GCF_000971615.1	ASM97161v1	Escherichia coli	GCF_000971615.1-RS_2024_06_01	Complete Genome	2015-04-13	2	PRJNA277394	SAMN03390066
GCF_030717665.1	ASM3071766v1	Escherichia coli	GCF_030717665.1-RS_2024_08_27	Complete Genome	2023-08-13	2	PRJNA1002110	SAMN36835240
GCF_045037545.1	ASM4503754v1	Escherichia coli	GCF_045037545.1-RS_2024_11_20	Complete Genome	2024-11-23	3	PRJNA1180919	SAMN44530424
GCF_003956265.1	ASM395626v1	Escherichia coli	GCF_003956265.1-RS_2024_06_18	Complete Genome	2018-12-19	5	PRJNA421191	SAMN08161314
GCF_009720605.1	ASM972060v1	Escherichia coli	GCF_009720605.1-RS_2024_06_23	Complete Genome	2019-11-30	3	PRJNA590596	SAMN13335779
GCF_021498045.1	ASM2149804v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-01-18	4	PRJNA636005	SAMN15062838
GCF_000801185.2	ASM80118v2	Escherichia coli	GCF_000801185.2-RS_2024_05_06	Complete Genome	2015-06-18	2	PRJNA253936	SAMN03262652
GCF_028752715.1	ASM2875271v1	Escherichia coli	GCF_028752715.1-RS_2024_03_27	Complete Genome	2023-02-21	4	PRJNA780013	SAMN23175191
GCF_010365485.1	ASM1036548v1	Escherichia coli	GCF_010365485.1-RS_2024_06_25	Complete Genome	2020-02-09	8	PRJNA604100	SAMN13951918
GCF_016780285.1	ASM1678028v1	Escherichia coli	GCF_016780285.1-RS_2024_06_27	Complete Genome	2021-02-01	1	PRJNA691727	SAMN17373164
GCF_045037485.1	ASM4503748v1	Escherichia coli	GCF_045037485.1-RS_2024_11_20	Complete Genome	2024-11-23	3	PRJNA1180919	SAMN44530433
GCF_002850675.4	ASM285067v5	Escherichia coli	GCF_002850675.4-RS_2024_06_20	Complete Genome	2019-08-19	7	PRJNA418674	SAMN07768275
GCF_001971765.1	ASM197176v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-01-26	4	PRJNA362247	SAMN06236809
GCF_035609265.1	ASM3560926v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-01-12	6	PRJNA1052584	SAMN38836393
GCF_014170975.1	ASM1417097v1	Escherichia coli	GCF_014170975.1-RS_2024_06_26	Complete Genome	2020-08-12	6	PRJNA596173	SAMN13613889
GCF_041320015.1	ASM4132001v1	Escherichia coli	GCF_041320015.1-RS_2024_09_01	Complete Genome	2024-08-18	5	PRJNA850883	SAMN29495219
GCF_045037555.1	ASM4503755v1	Escherichia coli	GCF_045037555.1-RS_2024_11_20	Complete Genome	2024-11-23	7	PRJNA1180919	SAMN44530451
GCF_030012725.1	ASM3001272v1	Escherichia coli	GCF_030012725.1-RS_2024_06_08	Complete Genome	2023-05-15	19	PRJNA917806	SAMN32549588
GCF_030169635.1	ASM3016963v1	Escherichia coli	GCF_030169635.1-RS_2024_06_20	Complete Genome	2023-06-05	8	PRJNA876631	SAMN30667245
GCF_037565025.1	ASM3756502v1	Escherichia coli	GCF_037565025.1-RS_2024_04_05	Complete Genome	2024-04-05	3	PRJNA1087359	SAMN40441582
GCF_045037655.1	ASM4503765v1	Escherichia coli	GCF_045037655.1-RS_2024_11_20	Complete Genome	2024-11-23	4	PRJNA1180919	SAMN44530444
GCF_026651285.1	ASM2665128v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-12-05	2	PRJNA823807	SAMN27361470
GCF_022558945.1	ASM2255894v1	Escherichia coli	GCF_022558945.1-RS_2024_05_24	Complete Genome	2022-03-14	3	PRJNA608094	SAMN15904653
GCF_038396545.1	ASM3839654v1	Escherichia coli	GCF_038396545.1-RS_2024_04_20	Complete Genome	2024-04-22	2	PRJNA1078256	SAMN39992805
GCF_001515725.1	ASM151572v1	Escherichia coli	GCF_001515725.1-RS_2024_06_12	Complete Genome	2016-01-15	1	PRJNA239653	SAMN04385793
GCF_028623045.1	ASM2862304v1	Escherichia coli	GCF_028623045.1-RS_2024_03_25	Complete Genome	2023-02-15	3	PRJNA932912	SAMN33214804
GCF_024399055.1	ASM2439905v1	Escherichia coli	GCF_024399055.1-RS_2024_08_18	Complete Genome	2022-07-25	3	PRJNA579943	SAMN19036486
GCF_905219285.2	AI2715v1_cp	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-05-22	6	PRJEB42440	SAMEA7853282
GCF_030389855.1	ASM3038985v1	Escherichia coli	GCF_030389855.1-RS_2024_07_11	Complete Genome	2023-07-03	7	PRJNA984747	SAMN35768953
GCF_013357345.1	ASM1335734v1	Escherichia coli	GCF_013357345.1-RS_2024_06_26	Complete Genome	2020-06-17	5	PRJNA580334	SAMN13155204
GCF_030168735.1	ASM3016873v1	Escherichia coli	GCF_030168735.1-RS_2024_06_20	Complete Genome	2023-06-05	4	PRJNA954068	SAMN34133717
GCF_013459015.1	ASM1345901v1	Escherichia coli	GCF_013459015.1-RS_2024_06_26	Complete Genome	2020-07-22	1	PRJNA630096	SAMN14966948
GCF_032293625.1	ASM3229362v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-03	2	PRJNA549322	SAMN37528254
GCF_018071945.1	ASM1807194v2	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-12-27	10	PRJNA812595	SAMN15907123
GCF_040267615.1	MRSN116333	Escherichia coli	GCF_040267615.1-RS_2024_06_22	Complete Genome	2024-06-23	4	PRJNA1116075	SAMN41774617
GCF_002999075.1	ASM299907v1	Escherichia coli	GCF_002999075.1-RS_2024_06_15	Complete Genome	2018-03-14	4	PRJNA316321	SAMN07291517
GCF_006536085.2	ASM653608v3	Escherichia coli	GCF_006536085.2-RS_2024_06_17	Complete Genome	2021-04-09	1	PRJDB6936	SAMD00164387
GCF_905330245.2	AI2853v1_cpp	Escherichia coli	GCF_905330245.2-RS_2024_06_20	Complete Genome	2022-05-24	8	PRJEB42440	SAMEA8065713
GCF_002860105.1	ASM286010v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-01-04	6	PRJNA360013	SAMN06198937
GCF_025369915.1	ASM2536991v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-22	7	PRJNA879066	SAMN30789309
GCF_041320185.1	ASM4132018v1	Escherichia coli	GCF_041320185.1-RS_2024_09_01	Complete Genome	2024-08-18	7	PRJNA850883	SAMN29495202
GCF_018199975.1	ASM1819997v1	Escherichia coli	GCF_018199975.1-RS_2024_06_28	Complete Genome	2021-04-29	5	PRJNA723453	SAMN18818538
GCF_034119705.1	ASM3411970v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-12-06	4	PRJNA1044718	SAMN38397467
GCF_029224065.1	ASM2922406v1	Escherichia coli	GCF_029224065.1-RS_2024_05_13	Complete Genome	2023-03-16	2	PRJNA726286	SAMN18927628
GCF_029224105.1	ASM2922410v1	Escherichia coli	GCF_029224105.1-RS_2024_05_13	Complete Genome	2023-03-16	3	PRJNA726332	SAMN18927803
GCF_003956305.1	ASM395630v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-12-19	3	PRJNA421191	SAMN08161146
GCF_016904195.1	ASM1690419v1	Escherichia coli	GCF_016904195.1-RS_2024_06_27	Complete Genome	2021-02-17	3	PRJNA231221	SAMN16357438
GCF_003073875.1	ASM307387v1	Escherichia coli	GCF_003073875.1-RS_2024_06_15	Complete Genome	2018-04-30	4	PRJNA316321	SAMN07291529
GCF_039909815.1	ASM3990981v1	Escherichia coli	GCF_039909815.1-RS_2024_05_30	Complete Genome	2024-05-31	3	PRJNA935790	SAMN41050890
GCF_000599645.1	ASM59964v1	Escherichia coli	GCF_000599645.1-RS_2024_06_01	Complete Genome	2014-03-19	1	PRJNA238952	SAMN02666695
GCF_036504765.1	ASM3650476v1	Escherichia coli	GCF_036504765.1-RS_2024_04_04	Complete Genome	2023-11-04	9	PRJDB14867	SAMD00562594
GCF_025583565.2	ASM2558356v2	Escherichia coli	GCF_025583565.2-RS_2024_06_18	Complete Genome	2023-06-01	6	PRJNA877800	SAMN30724595
GCF_002741555.1	ASM274155v1	Escherichia coli	GCF_002741555.1-RS_2024_06_15	Complete Genome	2017-11-02	2	PRJNA218110	SAMN04625459
GCF_013376895.1	ASM1337689v1	Escherichia coli	GCF_013376895.1-RS_2024_06_26	Complete Genome	2020-06-30	1	PRJNA320137	SAMN04917416
GCF_036287685.1	ASM3628768v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-01-29	4	PRJNA1064408	SAMN39500254
GCF_013374335.1	ASM1337433v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-06-17	2	PRJDB5126	SAMD00157562
GCF_026651225.1	ASM2665122v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-12-05	4	PRJNA823807	SAMN27361467
GCF_037555585.1	ASM3755558v1	Escherichia coli	GCF_037555585.1-RS_2024_04_05	Complete Genome	2024-04-05	7	PRJNA1087359	SAMN40441588
GCF_003352425.1	ASM335242v1	Escherichia coli	GCF_003352425.1-RS_2024_06_16	Complete Genome	2018-08-01	4	PRJNA395606	SAMN07411561
GCF_039909535.1	ASM3990953v1	Escherichia coli	GCF_039909535.1-RS_2024_05_30	Complete Genome	2024-05-31	4	PRJNA935790	SAMN41050888
GCF_022494315.1	ASM2249431v1	Escherichia coli	GCF_022494315.1-RS_2024_05_02	Complete Genome	2022-03-07	4	PRJNA603241	SAMN13925570
GCF_018884405.1	ASM1888440v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-06-15	4	PRJNA521509	SAMN10904673
GCF_040536875.1	ASM4053687v1	Escherichia coli	GCF_040536875.1-RS_2024_07_08	Complete Genome	2024-07-08	2	PRJNA1120784	SAMN41708062
GCF_023546845.1	ASM2354684v1	Escherichia coli	GCF_023546845.1-RS_2024_06_16	Complete Genome	2022-05-25	3	PRJNA837629	SAMN28215601
GCF_041320025.1	ASM4132002v1	Escherichia coli	GCF_041320025.1-RS_2024_09_01	Complete Genome	2024-08-18	3	PRJNA850883	SAMN29495218
GCF_044788705.1	ASM4478870v1	Escherichia coli	GCF_044788705.1-RS_2024_11_13	Complete Genome	2024-11-20	1	PRJNA1177997	SAMN44460564
GCF_029536655.1	ASM2953665v1	Escherichia coli	GCF_029536655.1-RS_2024_05_24	Complete Genome	2023-04-02	3	PRJNA944444	SAMN33748628
GCF_029227855.1	ASM2922785v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-03-16	3	PRJNA726008	SAMN18917855
GCF_030013085.1	ASM3001308v1	Escherichia coli	GCF_030013085.1-RS_2024_06_08	Complete Genome	2023-05-15	3	PRJNA917806	SAMN32549667
GCF_024499095.1	ASM2449909v1	Escherichia coli	GCF_024499095.1-RS_2024_08_27	Complete Genome	2022-08-01	6	PRJNA731849	SAMN19296501
GCF_038396535.1	ASM3839653v1	Escherichia coli	GCF_038396535.1-RS_2024_04_20	Complete Genome	2024-04-22	2	PRJNA1078256	SAMN39992804
GCF_034641715.1	ASM3464171v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-12-26	1	PRJNA1049017	SAMN38673181
GCF_030553135.1	ASM3055313v1	Escherichia coli	GCF_030553135.1-RS_2024_08_12	Complete Genome	2023-07-31	3	PRJNA800017	SAMN36696311
GCF_904831835.1	L4_E1441_ETEC	Escherichia coli	GCF_904831835.1-RS_2024_06_27	Complete Genome	2020-11-16	3	PRJEB40413	SAMEA7368285
GCF_045037605.1	ASM4503760v1	Escherichia coli	GCF_045037605.1-RS_2024_11_20	Complete Genome	2024-11-23	5	PRJNA1180919	SAMN44530440
GCF_030553115.1	ASM3055311v1	Escherichia coli	GCF_030553115.1-RS_2024_08_12	Complete Genome	2023-07-31	4	PRJNA800017	SAMN36696312
GCF_025398915.1	ASM2539891v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-25	3	PRJNA880665	SAMN30869335
GCF_905330215.2	AI2852v1_cpp	Escherichia coli	GCF_905330215.2-RS_2024_06_20	Complete Genome	2022-05-24	8	PRJEB42440	SAMEA8065712
GCF_041725685.1	ASM4172568v1	Escherichia coli	GCF_041725685.1-RS_2024_09_03	Complete Genome	2024-09-04	1	PRJNA1105230	SAMN41098568
GCF_003413625.1	ASM341362v1	Escherichia coli	GCF_003413625.1-RS_2024_06_17	Complete Genome	2018-08-22	6	PRJNA473397	SAMN09829654
GCF_045037575.1	ASM4503757v1	Escherichia coli	GCF_045037575.1-RS_2024_11_20	Complete Genome	2024-11-23	3	PRJNA1180919	SAMN44530452
GCF_011403355.1	ASM1140335v1	Escherichia coli	GCF_011403355.1-RS_2024_06_25	Complete Genome	2020-02-10	1	PRJDB8858	SAMD00190256
GCF_040550665.1	ASM4055066v1	Escherichia coli	GCF_040550665.1-RS_2024_07_09	Complete Genome	2024-07-09	2	PRJNA1119654	SAMN41660840
